mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta2_1,delta2_2,delta2_3,delta2_4,delta2_5,delta2_6,delta2_7,delta2_8,delta2_9,delta2_10,delta2_11,delta2_12,delta2_13,Emotion
-737.0158,65.55246,4.5433054,11.0642395,3.3583398,11.591408,-4.0665135,1.3284099,-5.144219,-2.9918318,-5.102631,-4.362411,2.7036026,8.9494364e-08,2.2373591e-08,1.11867955e-08,1.11867955e-08,-5.5933977e-09,-8.390097e-09,5.5933977e-09,-5.5933977e-09,2.0975242e-09,2.7966989e-09,-2.7966989e-09,-1.11867955e-08,2.7966989e-09,-3.0763687e-08,0.0,1.7479368e-09,8.390097e-09,0.0,-5.5933977e-09,-5.2438103e-09,-3.845461e-09,0.0,-3.4958736e-09,-3.845461e-09,3.4958736e-10,1.7479368e-09,8
-810.8441,79.09942,18.201685,35.980305,10.33962,23.251057,9.709537,10.08045,5.5823464,4.607829,1.3617233,3.4280405,8.227501,-0.03650657,-0.018460544,-0.005529331,-0.008115789,-0.007128166,-0.01372383,-0.030727148,-0.011560244,-0.009739482,-0.027647702,0.0020054528,0.0073908567,0.0040671295,0.039802022,0.07372809,0.011155135,-0.005576511,0.005110048,-0.014623943,-0.041279558,-0.02777865,-0.010998587,-0.024571305,-0.010218084,-0.0007610075,-0.013434079,2
-697.2869,74.85618,-1.9335696,17.057894,4.4403625,12.840352,-6.72709,2.0110517,-6.466293,-4.947744,-11.228407,-1.8538198,2.4770226,8.1597804e-08,0.0,1.01997255e-08,5.0998628e-09,0.0,-2.0399451e-08,1.01997255e-08,2.5499314e-09,-1.01997255e-08,0.0,0.0,0.0,5.0998628e-09,2.5499313e-08,7.649794e-09,7.649794e-09,-6.3748284e-10,6.3748284e-10,1.9124484e-09,4.46238e-09,-3.824897e-09,-3.824897e-09,3.5061556e-09,3.824897e-09,-3.187414e-09,-2.8686726e-09,4
-543.22565,66.33258,-6.1117063,8.573535,3.516619,12.575391,-7.3688135,3.855731,2.5410552,-3.1883438,-7.0874434,2.035685,-0.17210203,-0.01183185,-0.016702589,-0.01661305,-0.016465709,-0.016263213,-0.01600931,-0.015708493,-0.015365983,-0.014987698,-0.014579878,-0.014149027,-0.013701694,-0.013244367,0.0040216865,0.005664692,0.0055968757,0.005485498,0.005332928,0.005142378,0.004917855,0.004663955,0.0043857903,0.0040888344,0.0037787098,0.0034611344,0.003141664,5
-649.1023,80.02107,-1.7811942,13.045795,9.785845,14.024614,-8.568527,2.7567499,2.2536535,-6.5444517,-5.705676,1.4922186,1.6815562,-0.00092714163,-0.0013100131,-0.0013053173,-0.0012975127,-0.0012865543,-0.0012726521,-0.0012558363,-0.001236194,-0.0012138897,-0.0011890467,-0.0011617818,-0.0011323193,-0.001100798,-0.0002089623,-0.000295216,-0.00029435745,-0.00029292193,-0.0002909076,-0.00028833395,-0.0002851699,-0.00028146597,-0.00027718506,-0.00027235004,-0.00026698422,-0.00026106395,-0.00025461212,7
-794.0376,83.35504,12.653285,25.136501,10.228645,14.095573,3.077027,8.903396,-4.3703585,-2.7930934,-4.6476445,1.641908,4.7244425,-0.13333896,-0.14034548,-0.059078626,-0.017451411,-0.006621554,-0.007075457,-0.004718354,0.010737056,0.0297718,0.03465906,0.020333178,0.0032277985,0.004133301,0.014140382,0.016976899,0.014953979,0.017877545,0.012415938,-0.0019041699,-0.006521258,0.002235963,0.014029469,0.015670732,0.01074643,0.008457773,0.0010937982,1
-707.8734,80.01272,5.4361305,13.209321,2.6830297,12.264002,-10.81065,-2.6210706,-7.719497,-3.608756,-1.7655457,-1.6321508,-6.9560523,0.028445171,0.036468524,0.028081577,0.020924311,0.018419096,0.019115826,0.01910503,0.016051758,0.010807018,0.005916034,0.0032844446,0.0030443752,0.0038508207,0.0047251387,0.0067574573,0.00672199,0.0061250497,0.0048677786,0.0032240776,0.0013632339,-0.00081315805,-0.0030888936,-0.0043918444,-0.0034154044,-0.00014177192,0.0035008497,2
-726.7331,86.20083,6.794439,19.837938,2.5730906,16.532404,-3.3678458,-0.6821124,-9.016954,3.3599231,-1.4634671,-3.8426237,3.8635652,0.092153944,0.10311922,0.05478318,0.031705927,0.033091735,0.03310143,0.02205436,0.012175878,0.013395652,0.016797828,0.013738695,0.009148334,0.007149013,0.0018535504,0.0010211095,-0.0041954652,-0.008402501,-0.0061282017,-0.0013584705,0.0015405169,0.002534025,-0.00014223096,-0.0049318145,-0.005596735,-0.0021921385,8.2523875e-05,2
-577.5517,58.172302,-10.241125,12.083635,-8.015853,4.472955,-10.923858,-4.056206,-17.553167,-7.554564,-6.0831065,-5.964536,-1.3803585,-0.4596033,-0.13970849,0.081245475,-0.056894176,0.037487634,0.019183468,0.043488,0.0063938806,0.042569824,-0.00020178681,-0.008811143,0.035073914,-0.0054158308,-0.011807012,-0.018458521,-0.016057074,-0.0061970707,0.008812843,0.007825743,0.003810618,0.0031198957,0.00021746443,0.0032787307,0.0071150116,-0.0011263671,-0.021559129,7
-710.2901,87.70687,5.2860684,25.372631,5.663879,14.0212,4.7868156,8.837443,-4.178432,0.7217009,-0.8116108,-3.1853044,7.549926,0.0060705305,0.008027521,0.006934616,0.00642176,0.0069412324,0.0077991793,0.007920548,0.007051037,0.00605767,0.005933388,0.006617225,0.00704718,0.0064132335,-0.0003973763,0.00046769629,0.0024089853,0.0031521583,0.0020402854,0.00054605183,0.00050288776,0.0019790486,0.0032101127,0.00264503,0.0007463607,-0.0005511839,-6.4449814e-05,3
-615.78625,70.02615,3.2824147,12.89489,9.416907,16.67878,-3.1558247,5.9066725,1.5856931,1.6448816,-1.5008398,5.559273,2.3011172,0.016756589,0.023628822,0.023423929,0.023084963,0.022615453,0.022020267,0.021305626,0.020478956,0.019548716,0.018524418,0.017416388,0.016235627,0.014993762,-0.0046760403,-0.006594854,-0.0065408982,-0.0064517027,-0.006328377,-0.0061723916,-0.0059856507,-0.005770385,-0.005529163,-0.0052648354,-0.0049804626,-0.0046793288,-0.0043648197,8
-661.58386,71.44836,-1.5651104,12.322436,4.6638293,10.445622,-3.5523474,-0.67160815,-2.2874398,-4.690284,-10.287851,-0.7171685,1.1463737,-0.004789569,-0.0067698304,-0.0067589884,-0.006741014,-0.0067159594,-0.0066837934,-0.0066446424,-0.0065985913,-0.006545746,-0.0064862133,-0.0064201565,-0.0063477117,-0.0062690456,-0.0018864496,-0.0026669805,-0.0026645674,-0.0026605255,-0.002654876,-0.0026476132,-0.0026387768,-0.0026283383,-0.002616354,-0.0026028135,-0.0025877361,-0.002571135,-0.0025530527,5
-698.301,68.86564,-3.0829296,14.247223,-0.6060372,12.682167,-8.049307,-3.2629173,-7.8370214,-7.5124946,-9.3144045,-5.32374,-1.6565512,-0.05733792,-0.07432699,-0.055901047,-0.030736795,-0.0051596463,0.015131076,0.026673058,0.02890676,0.023796005,0.014716297,0.0051383576,-0.0024033438,-0.0067865252,-0.009128079,-0.011321205,-0.006993579,-0.0010763159,0.0049652043,0.009819257,0.012679212,0.013365708,0.012224817,0.009897028,0.007077247,0.0043471134,0.0020979438,4
-693.26697,63.695404,-1.3900399,8.060956,-4.3728313,3.2478714,-8.044566,1.541622,-6.195651,-5.4727755,-7.9917316,-2.1198394,-3.2255979,-0.0047157463,-0.006583387,-0.006303553,-0.005779531,-0.004977868,-0.0039243125,-0.0027176607,-0.0015050883,-0.0004303672,0.00041717276,0.0010249029,0.001440247,0.0017259578,0.004276628,0.0059786565,0.0057416754,0.0052730236,0.0045247735,0.0035153038,0.002346635,0.0011763542,0.0001580645,-0.00061704067,-0.0011456585,-0.0014919181,-0.0017346991,7
-645.63916,54.23613,-11.563163,4.019589,-8.747277,-1.5320408,-14.077096,-0.46803895,-12.332494,-12.428557,-5.747053,-2.5528429,-8.019654,-0.0003947768,-0.0005515786,-0.000532616,-0.0005035012,-0.0004664696,-0.0004228215,-0.00037256506,-0.00031521986,-0.00025103812,-0.00018163615,-0.00011005235,-3.9610753e-05,2.73017e-05,0.00014810784,0.0002178425,0.00023659994,0.00025057446,0.00024620842,0.00022065015,0.00018359201,0.00015075332,0.00013320426,0.00012991387,0.00012848162,0.00011356764,7.742089e-05,8
-859.0698,83.04426,12.159675,17.108288,12.131264,17.60408,-1.3405495,2.647326,-1.2555258,-1.3069425,3.8551362,-0.18185404,-2.3586187,0.082466625,0.08095692,0.041864734,0.02120541,0.017837454,0.015118296,0.015185593,0.013281898,0.015946832,0.025884172,0.027220264,0.016775085,0.0013633266,-0.020485472,-0.001890528,-0.014579416,-0.008663689,-0.011518941,-0.004710342,0.00082621584,-0.010104915,-0.011088064,-0.0046503604,-0.007864642,-0.0028361524,-0.0069256644,8
-734.0457,69.28873,15.134094,21.531218,6.667346,13.490649,-5.4597316,4.232998,-5.2880845,-3.4515352,-0.7564257,-2.016132,-4.1152544,0.013632585,0.019366218,0.0185224,0.01661631,0.015016301,0.012956798,0.010017752,0.007668684,0.0054772906,0.0026975162,0.0007164262,-0.0005890749,-0.0022766322,-0.00860305,-0.012185676,-0.011476061,-0.009960793,-0.008618221,-0.0069390116,-0.0046546627,-0.0028130587,-0.0011257742,0.0009234411,0.002368104,0.003303939,0.0044835247,7
-691.8844,94.32132,-0.23245223,18.118574,6.188707,16.575098,-3.419165,-1.1010408,-10.016279,-0.6516852,-2.2751098,-5.331215,2.1482823,0.31284028,0.23027493,-0.005271267,0.026117437,0.056847844,0.029850272,0.027710984,0.029989557,0.006154545,-0.014353529,0.0007458812,-0.0076633166,-0.0023437147,0.012110382,0.020640608,0.021244252,0.011151495,0.008801142,1.5293419e-05,-0.0074470076,0.007229285,0.01219473,-0.0073182727,-0.021695003,-0.0019640676,0.0009925562,4
-611.3625,69.25937,-8.466119,4.126912,-1.5413064,5.3839784,-15.18448,-1.130466,-5.840151,-8.878808,-6.7514057,1.9892001,-2.605841,-0.032001536,-0.04437067,-0.04184311,-0.038047496,-0.03354698,-0.029001227,-0.02503983,-0.022124697,-0.020439904,-0.019851984,-0.019966323,-0.020273015,-0.020333769,0.010472233,0.014305437,0.012776508,0.010234452,0.0068464917,0.0030309723,-0.0005786531,-0.0033215727,-0.004772871,-0.0049424185,-0.0042892485,-0.0035203118,-0.0032623957,4
-574.56396,50.59771,-19.732265,3.5122569,-7.54785,1.0928664,-11.858539,-9.391037,-10.422139,-10.999381,-8.581772,-3.155872,-7.581973,-1.09113125e-05,-1.5407968e-05,-1.5429277e-05,-1.5407968e-05,-1.5391985e-05,-1.5381329e-05,-1.535469e-05,-1.5333379e-05,-1.5312067e-05,-1.5274773e-05,-1.5248133e-05,-1.5200183e-05,-1.5162889e-05,-9.490924e-05,-0.00013426295,-0.00013420836,-0.00013412311,-0.00013401522,-0.00013386637,-0.00013368356,-0.00013347845,-0.00013323128,-0.00013295832,-0.00013264998,-0.00013230833,-0.00013194005,6
-710.21344,100.90625,17.919744,21.074219,13.374769,16.183386,-0.42040086,7.4540854,2.5603836,0.48962665,0.67160827,-1.2664338,-1.4070456,-0.020385664,-0.0215092,-0.013785648,-0.01265077,-0.003425569,0.0074030664,0.006224313,0.007856952,0.01872887,0.020640567,0.015622183,0.01776065,0.017255822,0.007920451,0.009275865,0.0062715625,0.0039665354,0.001561032,0.0019497481,0.004810569,0.004055506,0.0010460509,0.001265121,0.0014251426,-0.0003885902,0.0012094248,2
-784.6749,66.86216,5.202201,16.842007,0.6710151,9.544746,-10.138621,5.9584837,-6.1574736,-9.081415,-1.5537463,-4.008578,-2.4922004,8.769419e-08,-2.1923547e-08,-5.480887e-09,1.644266e-08,-5.480887e-09,2.7404434e-09,1.0276663e-09,0.0,1.3702217e-09,1.0276663e-08,-1.3702217e-09,0.0,-2.7404434e-09,-3.288532e-08,2.7404434e-09,2.7404434e-09,0.0,-6.8511086e-10,8.906441e-09,2.7404434e-09,1.3702217e-09,1.3702217e-09,-5.1383315e-09,6.8511086e-10,-3.082999e-09,-2.0553326e-09,2
-529.43854,76.521454,-6.397939,-0.9877044,-8.731546,5.427162,-18.882174,-1.5217352,-16.641027,-13.989748,-6.3991933,0.43412617,-8.494525,0.07026691,0.05930369,-0.017875101,-0.054275192,-0.026279332,0.016928181,0.020102438,-0.014610971,-0.040884264,-0.03056504,-0.0029789032,0.008864612,0.0019864137,-0.012268039,-0.014703583,-0.009937472,-0.007860935,-0.008625595,-0.008815613,-0.0059962585,-0.0007116025,0.003956017,0.0050748745,0.0033005173,0.0015292969,-0.0001934923,7
-863.2169,88.07018,23.494026,33.699554,22.649961,24.427979,10.991583,6.0622063,-0.055976603,0.73889214,9.172261,2.3643575,0.6636095,0.24001561,0.08467583,0.043801248,0.036156315,0.0120258,0.02264727,0.032111928,0.020386515,-0.008674707,-0.011829249,0.015646337,0.01522721,-0.0060051875,0.042944133,-0.0114412485,-0.005670549,-0.008386212,-0.0063033146,0.0014720663,0.009089697,0.0019249362,0.013251024,0.017845405,0.004877809,0.006048418,0.015456616,2
-569.903,60.12744,-1.0445782,21.13737,1.3539078,15.975899,1.1740078,11.220265,-0.88061637,2.051656,0.20375293,3.726772,4.3136544,-0.062083367,-0.071892366,-0.037328243,-0.009964611,-0.0031088435,-0.008491744,-0.010572781,-0.004347822,0.0033192583,0.005471691,0.002315402,-0.0027864848,-0.00895015,-0.01533399,-0.020212002,-0.016081464,-0.010433943,-0.0052389917,-0.0021113073,-0.0010852503,-0.0011112641,-0.0017146488,-0.003323073,-0.005636403,-0.00674338,-0.005182248,8
-876.1379,68.46335,12.9348955,23.322504,12.317599,11.426333,4.156349,4.078757,1.9885806,1.1144502,6.3969646,5.7761855,6.0120096,0.008828749,-0.012225555,0.011252866,0.0005640085,-0.0013542492,-0.006006304,-0.01411553,-0.0033175761,0.011770849,0.00850562,0.005186799,-0.0022380378,0.0045502274,0.015973538,0.024988746,0.013669217,0.0082716225,0.00492886,-0.00090299884,-0.0011680882,0.007746759,-0.00519164,-0.0026673838,-0.0022375768,0.0017143353,0.0016841955,2
-594.8058,79.875114,-6.6933737,10.919927,1.0016388,14.715319,-10.729469,0.4511408,-13.513081,-0.87186766,-5.4596205,-3.0819085,4.65728,0.3045371,0.24719557,0.008038838,-0.028433254,-0.02256024,-0.020350138,0.00034039613,-0.0186773,-0.039626446,-0.025779162,-0.008212395,0.018312398,0.023467904,-0.019319413,-0.0032274257,0.019592127,0.0075566773,-0.002898678,-0.0022939078,-0.0044472152,-0.0067572333,-0.003915372,-0.0006035188,-0.0003585582,-0.0008007241,0.0051561375,7
-600.2068,59.393234,-2.3093061,12.272177,0.24083675,1.7391025,-10.243026,-0.30152434,-7.9009085,-6.8052683,-4.918557,1.3381697,-4.03216,0.0037386334,0.005267311,0.0052074404,0.0051090945,0.0049740537,0.0048049036,0.0046048253,0.004377557,0.004127167,0.0038581907,0.003575191,0.0032828704,0.0029859315,0.0009840002,0.0013896341,0.0013837215,0.001373917,0.0013602667,0.0013428091,0.0013216578,0.0012969133,0.0012686912,0.0012371169,0.0012023717,0.001164649,0.0011240982,5
-559.79504,57.27799,-11.346574,3.4518206,-4.6078157,7.3969307,-8.657254,-3.1821055,-9.850358,-2.120318,-6.0593505,-4.4302263,-1.2165347,-0.012394093,-0.017363513,-0.016817564,-0.015830923,-0.014522918,-0.013230848,-0.012327206,-0.011975124,-0.012060189,-0.012356586,-0.012748923,-0.0132841375,-0.014018335,-0.00067711173,-0.00076848635,-0.0004411715,-0.0004130153,-0.0007965053,-0.0012171298,-0.001208282,-0.0007266307,-0.00021021307,-0.000109791756,-0.00041174225,-0.00067609514,-0.00053499546,6
-662.79987,47.627,2.2919738,14.541662,-9.329878,6.6218576,-13.4203,6.1914454,-6.630775,-10.689917,-10.153833,-5.8784533,-9.150741,0.0,0.0,-9.831694e-09,0.0,3.6868852e-09,0.0,-1.4747541e-08,-7.988251e-09,0.0,0.0,-9.831694e-09,0.0,0.0,-1.3518579e-08,-2.5808196e-08,-1.2289617e-09,1.2289617e-08,-6.1448087e-09,-6.7592896e-09,3.6868852e-09,-4.6086064e-09,4.915847e-09,3.0724043e-09,-6.1448086e-10,-6.7592896e-09,-9.217213e-10,8
-764.90216,67.32123,-0.842512,14.166059,-0.9530921,6.074747,-1.1442602,-0.8110756,-5.206036,-3.6916306,-1.9846922,-3.7658966,1.6654626,-0.0037614922,-0.0052331625,-0.0049798926,-0.00457162,-0.0040270844,-0.0033688734,-0.002620998,-0.0018072756,-0.00095036783,-7.195849e-05,0.00080705946,0.0016660063,0.0024848236,-0.008750759,-0.012325005,-0.012180131,-0.011956565,-0.011677133,-0.011366782,-0.011047898,-0.010736988,-0.010443138,-0.010168655,-0.009911492,-0.009667981,-0.00943534,8
-804.94434,81.95859,14.955182,17.685783,4.318821,14.503291,-0.010042631,1.8435131,-5.2707257,-1.302018,-1.1249464,0.696224,2.4917955,-0.0048099495,-0.004155808,-0.002858856,-0.0035020276,-0.0048978454,-0.004939096,-0.002236197,-6.0109698e-05,0.00031096837,-0.00032282298,0.0005186126,-0.0005751418,0.0002369796,-0.009693368,-0.010062751,-0.0075045815,-0.0077371444,-0.007911271,-0.0075986697,-0.005888073,-0.00522878,-0.0062150173,-0.0074835834,-0.0076038386,-0.0089267865,-0.008037412,4
-610.45886,74.33796,4.546674,12.82302,7.157404,17.521446,3.2008247,10.727361,0.07513975,-2.7704031,-2.3232741,5.7708964,6.9880414,-0.0072037135,-0.0031954774,0.008538314,0.011791632,0.007378907,0.0042123497,0.006524089,0.01337485,0.020531135,0.02110098,0.014077347,0.009039785,0.012727427,0.0073144757,0.0057145087,-0.002191234,-0.004714068,-0.001820404,0.0017807453,0.003582012,0.0020729592,-0.0030385035,-0.007379772,-0.0066144364,-0.0036208823,-0.00338717,6
-783.1305,71.12016,14.3469515,28.006985,10.212609,20.912733,3.6897438,8.5828495,3.6260066,4.5662856,-1.2423995,3.2165616,5.536361,-0.05300154,-0.063282445,-0.043814406,-0.030917086,-0.025260366,-0.027716499,-0.02893228,-0.024416603,-0.019693488,-0.016023405,-0.015644647,-0.016237156,-0.013914609,0.042485535,0.050638683,0.030431133,0.011541112,-0.00019632485,-0.003257258,-0.0040620207,-0.006063926,-0.007734564,-0.00953529,-0.008146088,-0.005988855,-0.0069507933,4
-739.8845,62.168674,8.463891,19.159546,2.7310443,8.509731,-3.3812113,5.1709223,-0.7105124,-3.0436537,-0.076787286,0.84924203,3.3415017,0.003808659,0.005381416,0.0053718844,0.005366208,0.005368898,0.005375602,0.0053774407,0.005369717,0.0053566406,0.005346839,0.005344952,0.0053466936,0.005343168,-0.0006721568,-0.0009482238,-0.00094164436,-0.0009311514,-0.00091693935,-0.00089894386,-0.00087692204,-0.0008508445,-0.0008209842,-0.000787909,-0.0007519365,-0.00071312557,-0.0006713749,7
-780.2922,68.54026,3.1499188,15.191356,-3.861987,4.120371,-9.754617,-0.1718161,-10.826927,-2.2098558,-6.178016,-5.7163258,-2.4036677,0.032630365,0.039681952,0.029579243,0.021147689,0.010684326,0.0052758134,0.0060204663,0.004060338,0.0005132556,-0.0027872708,-0.008148064,-0.010679978,-0.007822004,-0.018143812,-0.020705476,-0.013327458,-0.008336679,-0.0027976127,-0.0012316778,-0.0037582666,-0.0022561096,0.003009441,0.008124006,0.012513022,0.012616519,0.0070505585,4
-580.6643,46.79373,-4.6051707,5.280616,-10.914252,7.246752,-10.412903,-5.937473,-10.668083,-9.4531555,-12.964041,0.36542004,-7.062451,0.0007901399,0.0011158404,0.0011108414,0.0011025046,0.0010909464,0.0010762422,0.0010584749,0.0010377401,0.0010141705,0.0009879755,0.0009592927,0.00092830346,0.00089519436,0.00032276692,0.00045584596,0.00045371315,0.00045012392,0.00044516896,0.00043885247,0.0004312124,0.00042230717,0.0004121985,0.0004009423,0.0003886158,0.00037531232,0.0003610992,3
-816.17566,90.40028,8.335443,15.09346,4.973746,14.695936,-4.3717794,1.9054941,-5.63088,-6.691349,-1.5962093,-1.0274466,-2.0510418,0.14806077,0.13049178,0.036470447,0.0031390432,-0.01336112,-0.007490689,-0.0033482374,0.0030394893,0.0053976728,0.0005032895,0.0062413746,0.0025872646,-0.011042894,-0.0048203925,-0.0012521797,0.0071527646,0.010387853,0.011944882,0.006575904,-0.002260277,-0.0011494823,0.00235015,0.007037754,0.009964931,0.0064082188,-0.003175859,4
-659.0161,83.93285,1.9270973,10.295968,8.283449,13.54355,-5.2529683,1.3206776,-4.185883,-5.97718,-4.102812,0.279027,0.6816661,0.0031776428,0.0044906535,0.0044811466,0.0044654137,0.0044434764,0.004415363,0.0043812394,0.004341161,0.004295369,0.004243875,0.004186968,0.0041248,0.004057611,0.00086630386,0.001225623,0.0012271032,0.0012295432,0.0012328656,0.001236924,0.0012416247,0.0012467979,0.0012522998,0.0012578244,0.0012632521,0.0012683006,0.0012727423,3
-753.0766,72.505394,15.097795,18.400576,6.3384504,15.296435,2.0119247,6.174495,-1.1460911,0.33338767,-0.39591554,-0.8356255,2.250642,-0.007876283,-0.010791079,-0.009697899,-0.007855535,-0.0055400077,-0.003268501,-0.0014684132,-0.00019954945,0.0007968363,0.0018304383,0.0030748101,0.0045583947,0.006189751,0.007776116,0.010139908,0.0076694195,0.0039436026,-0.0003810542,-0.0045114206,-0.007844489,-0.010194527,-0.011733948,-0.012751157,-0.013472143,-0.014036821,-0.014514854,3
-771.68256,78.71819,16.490095,19.926105,7.9928985,14.802849,-0.7123035,11.867599,-3.6304703,-0.6893501,0.06519694,1.669927,1.8934997,0.012778202,0.013350523,-0.008659916,-0.030124225,-0.016689189,0.013518324,0.028391812,0.02890475,0.018672353,0.011862187,0.030794466,0.04768391,0.026424287,0.010022136,-0.0006427375,-0.011136923,0.003659574,0.0060662283,-0.009258152,-0.011977381,-0.007961099,-0.013054029,-0.016893929,-0.015952053,-0.016337328,-0.01196114,7
